run_id,task_category,model_slug,is_done,done_reason,total_duration_s,load_duration_s,input_token_count,input_token_duration_s,output_token_count,output_token_duration_s,is_thinking,output_char_count,thinking_char_count,generation_limit_reached,final_content_empty,generation_failure,reasoning_limit_failure,truncated_response,latency_s,cc_duration_s,carbon_emissions_grams,emissions_rate_grams_per_s,mean_cpu_power_w,mean_gpu_power_w,mean_ram_power_w,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,total_energy_consumed_kwh,cpu_util_percent,gpu_util_percent,ram_util_percent,avg_ram_used_gb
M1S__UP006,summarization,granite4.1:8b,True,stop,1.567163299,0.278708068,3216,0.039457,153,1.201596,False,723,0,False,False,False,False,False,1.5703511249739677,3.081737863016315,0.05853582555538059,0.018994420731842335,12.501675800000001,152.47316380385695,20.0,8.950666797899638e-06,0.00013038843764423547,1.4318398000129189e-05,0.0001536575024422643,0.0,92.0,53.6,32.790618896484375
M1G__UP006,summarization,granite4.1:8b,True,stop,4.930269244,0.270160745,3155,0.039652,583,4.574511,False,2724,0,False,False,False,False,False,4.933447303017601,6.4435989480116405,0.19111381686412587,0.02965948352870403,12.50294912,250.42340415431735,20.0,2.0630804640960487e-05,0.0004480459139912796,3.300018611674508e-05,0.0005016769047489851,0.0,94.5,53.6,32.79285717010498
M1G__UP007,summarization,granite4.1:8b,True,stop,1.334003672,0.293909371,3094,0.033249,123,0.964903,False,578,0,False,False,False,False,False,1.3378386049880646,2.8500344359781593,0.04849692206485035,0.017016258278369098,12.500599006250003,134.20292098078312,20.0,8.145396288329062e-06,0.0001061325849063266,1.3027234883176991e-05,0.00012730521607783266,0.0,94.0,53.6,32.79348373413086
M1S__UP007,summarization,granite4.1:8b,True,stop,0.915569743,0.271711759,3155,0.039537,71,0.558837,False,330,0,False,False,False,False,False,0.9193861479870975,2.4309813750442117,0.03272238184579835,0.013460564602311376,12.5,101.57706242122701,20.0,6.690031145909517e-06,6.850533258173641e-05,1.0701425472507252e-05,8.589678920015318e-05,0,0,0,0
M1S__UP008,summarization,granite4.1:8b,True,stop,1.06592515,0.294101077,3222,0.039639,87,0.682903,False,393,0,False,False,False,False,False,1.0696746760513633,2.584423889988102,0.0388830151335635,0.015045138409451288,12.50000703125,116.29949105061148,20.0,7.214847263318636e-06,8.331451109633292e-05,1.1539194294406723e-05,0.00010206855265405829,0.0,0.0,53.5,32.78606414794922
M1G__UP008,summarization,granite4.1:8b,True,stop,1.709752166,0.260824554,3161,0.039752,174,1.364272,False,784,0,False,False,False,False,False,1.7135617429739796,3.2289568440173753,0.06428522817778935,0.01990897719704656,12.501843256250002,161.1022193953275,20.0,9.449110814453368e-06,0.0001441870597940209,1.5113608044339345e-05,0.00016874977865281363,0.0,95.0,53.6,32.79530334472656
M1G__UP009,summarization,granite4.1:8b,True,stop,0.756668444,0.27874566,3145,0.036966,50,0.396077,False,211,0,False,False,False,False,False,0.7604724820121191,2.272408702003304,0.026421081346332465,0.011626905548742284,12.500000112500002,84.711783623901,20.0,6.1393109059655065e-06,5.3397264940358014e-05,9.819196161374242e-06,6.935577200769776e-05,0,0,0,0
M1S__UP009,summarization,granite4.1:8b,True,stop,0.64186757,0.262840143,3206,0.044793,37,0.293043,False,141,0,False,False,False,False,False,0.6453206649748608,2.1566765219904482,0.02230485020896323,0.010342232588676559,12.5,72.93191837891162,20.0,5.738765312546295e-06,4.3632257127335095e-05,9.179575299882951e-06,5.855059773976434e-05,0,0,0,0
M1S__UP010,summarization,granite4.1:8b,True,stop,4.515530845,0.305973939,8504,0.653462,395,3.440847,False,1361,0,False,False,False,False,False,4.520117996027693,6.031943060050253,0.18406433667852684,0.0305149327250104,12.5030204225,258.7163961000285,20.0,1.919796455863802e-05,0.0004332675688356602,3.070637021123224e-05,0.0004831719036055305,0.0,94.75,53.6,32.79410362243652
M1G__UP010,summarization,granite4.1:8b,True,stop,7.205816428,0.274998158,8443,0.641839,614,5.363408,False,1911,0,False,False,False,False,False,7.209743059007451,8.72085884801345,0.27111734012044525,0.031088376138802415,12.5027196734375,263.25283268433566,20.0,2.853690812187916e-05,0.0006375030100018719,4.5647547739079325e-05,0.0007116874658628304,21.428571428571427,86.0,55.8,34.15808541434152
M1G__UP011,summarization,granite4.1:8b,True,stop,2.626840081,0.278158329,3134,0.032293999,189,1.469764,False,789,0,False,False,False,False,False,2.6299931940156966,4.1410122330416925,0.07856642110828096,0.018972757549806048,12.5024576,150.86245822655957,20.0,1.2631734161228335e-05,0.00017340152760869643,2.0204882627715254e-05,0.00020623814439764003,0.0,94.0,58.1,35.54774284362793
