"run_id","task_category","model_slug","is_done","done_reason","total_duration_s","load_duration_s","input_token_count","input_token_duration_s","output_token_count","output_token_duration_s","is_thinking","output_char_count","thinking_char_count","generation_limit_reached","final_content_empty","generation_failure","reasoning_limit_failure","truncated_response","latency_s","cc_duration_s","carbon_emissions_grams","emissions_rate_grams_per_s","mean_cpu_power_w","mean_gpu_power_w","mean_ram_power_w","cpu_energy_kwh","gpu_energy_kwh","ram_energy_kwh","total_energy_consumed_kwh","cpu_util_percent","gpu_util_percent","ram_util_percent","avg_ram_used_gb","prompt_id","model_number_from_run_id","condition","model","token_count","energy","carbon","latency","log_token_count","log_energy","log_carbon","log_latency"
"M1G__UP001","summarization","granite4.1:8b","True","stop",2.75886162,0.278051593,3390,0.356968,265,2.07194,"False",1325,0,FALSE,FALSE,FALSE,FALSE,FALSE,2.76362522901036,4.27577314001974,0.106864895760748,0.024993116393508,12.5024576375,207.67566711043,20,1.30973863548579e-05,0.000246475474957819,2.09492433224417e-05,0.000280522104635119,50,94.5,53.5,32.7879543304443,"UP001",1,"General","granite4.1:8b",265,0.000280522104635119,0.106864895760748,2.76362522901036,5.57972982598622,-8.17885803170315,-2.23618989878413,1.01654330662917
"M1S__UP001","summarization","granite4.1:8b","True","stop",1.660952151,0.277850944,3451,0.073154,162,1.26977,"False",879,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.6648097630241,3.17648696800461,0.0615163763164887,0.0193661667546937,12.50184325625,155.829316842366,20,9.27944074645035e-06,0.000137359832110384,1.48422242333052e-05,0.00016148149709014,50,93,53.5,32.788745880127,"UP001",1,"Sustainability","granite4.1:8b",162,0.00016148149709014,0.0615163763164887,1.6648097630241,5.08759633523238,-8.73111999096641,-2.78845185804739,0.509710860462658
"M1S__UP002","summarization","granite4.1:8b","True","stop",0.77921272,0.263075358,3192,0.036723,55,0.433062,"False",244,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.782421882962808,2.29518654802814,0.0270599377347164,0.0117898642086258,12.5,86.2541134192879,20,6.21405780556314e-06,5.48783772362782e-05,9.94034546666727e-06,7.10327805085086e-05,0,0,0,0,"UP002",1,"Sustainability","granite4.1:8b",55,7.10327805085086e-05,0.0270599377347164,0.782421882962808,4.00733318523247,-9.55236909016943,-3.60970095725041,-0.245361191630661
"M1G__UP002","summarization","granite4.1:8b","True","stop",1.156879589,0.258717737,3131,0.036853,104,0.816119,"False",460,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.16049156500958,2.67220659001032,0.0417377371255258,0.0156192029768793,12.500074925,121.373096847394,20,7.52795235835583e-06,8.99925719934913e-05,1.20417203666875e-05,0.000109562244718535,0,94,53.6,32.7965087890625,"UP002",1,"General","granite4.1:8b",104,0.000109562244718535,0.0417377371255258,1.16049156500958,4.64439089914137,-9.1190177252932,-3.17634959237419,0.148843678295409
"M1G__UP003","summarization","granite4.1:8b","True","stop",4.812070616,0.29539465,3576,0.088327,554,4.377591,"False",2903,0,FALSE,FALSE,FALSE,FALSE,FALSE,4.81584237498464,6.33293251099531,0.183896617044966,0.0290381457130141,12.5029491425,244.854338400003,20,2.02242208268561e-05,0.000430158955238902,3.23484607500076e-05,0.000482731636815765,0,94.25,53.525,32.7877082824707,"UP003",1,"General","granite4.1:8b",554,0.000482731636815765,0.183896617044966,4.81584237498464,6.31716468674728,-7.63604967608289,-1.69338154316387,1.57191097802419
"M1S__UP003","summarization","granite4.1:8b","True","stop",4.505241487,0.299082699,3637,0.097649,514,4.062402,"False",2727,0,FALSE,FALSE,FALSE,FALSE,FALSE,4.50945232901722,6.02130373398541,0.173031791884915,0.0287365991700918,12.5031630275,241.907370455176,20,1.91611913356232e-05,0.000404403101299522,3.06469998833361e-05,0.000454211292518481,0,94.75,53.5,32.7751731872559,"UP003",1,"Sustainability","granite4.1:8b",514,0.000454211292518481,0.173031791884915,4.50945232901722,6.24222326545517,-7.69694806616577,-1.75427993324675,1.50617571133307
"M1S__UP004","summarization","granite4.1:8b","True","stop",1.449299938,0.302832325,3271,0.047058,134,1.053054,"False",726,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.452459164022,2.96357782103587,0.0524426079712139,0.0176957080725093,12.5013719375,140.396208664393,20,8.54105253908961e-06,0.000115458425699266,1.36632280779951e-05,0.000137662706316351,0,94,53.5,32.7828559875488,"UP004",1,"Sustainability","granite4.1:8b",134,0.000137662706316351,0.0524426079712139,1.452459164022,4.89783979995091,-8.89070402176299,-2.94803588884397,0.373258095078149
"M1G__UP004","summarization","granite4.1:8b","True","stop",3.508450386,0.286418459,3210,0.048047,399,3.127568,"False",2034,0,FALSE,FALSE,FALSE,FALSE,FALSE,3.51190545596182,5.02256870397832,0.133406537409487,0.0265614161343014,12.5026811,221.884105792647,20,1.56947509715275e-05,0.000309394691959675,2.51049064833852e-05,0.000350194349414587,0,94,53.5,32.7843627929688,"UP004",1,"General","granite4.1:8b",399,0.000350194349414587,0.133406537409487,3.51190545596182,5.98896141688986,-7.95702227355227,-2.01435414063325,1.25615875512629
"M1G__UP005","summarization","granite4.1:8b","True","stop",1.854683007,0.259710155,3122,0.036628,194,1.518148,"False",924,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.8584828460007,3.37023433996364,0.0699818111477463,0.0207646721528869,12.5020215125,168.758050838575,20,9.95227717626437e-06,0.000157832626266341,1.59184989664936e-05,0.000183703402409099,0,95,53.5,32.7889747619629,"UP005",1,"General","granite4.1:8b",194,0.000183703402409099,0.0699818111477463,1.8584828460007,5.26785815906333,-8.60218804436273,-2.65951991144372,0.619760480688735
"M1S__UP005","summarization","granite4.1:8b","True","stop",1.1702964,0.300552353,3183,0.041166,101,0.787812,"False",452,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.17410913400818,2.68586088699521,0.0428036053861817,0.0159366427328512,12.50009725625,124.351837114918,20,7.57494719330911e-06,9.26686852462666e-05,1.21165339501911e-05,0.000112360166389767,0,65,53.6,32.7900009155273,"UP005",1,"Sustainability","granite4.1:8b",101,0.000112360166389767,0.0428036053861817,1.17410913400818,4.61512051684126,-9.09380107486633,-3.15113294194731,0.160509676206578
"M1S__UP006","summarization","granite4.1:8b","True","stop",1.567163299,0.278708068,3216,0.039457,153,1.201596,"False",723,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.57035112497397,3.08173786301631,0.0585358255553806,0.0189944207318423,12.5016758,152.473163803857,20,8.95066679789964e-06,0.000130388437644235,1.43183980001292e-05,0.000153657502442264,0,92,53.6,32.7906188964844,"UP006",1,"Sustainability","granite4.1:8b",153,0.000153657502442264,0.0585358255553806,1.57035112497397,5.03043792139244,-8.78078444244925,-2.83811630953023,0.451299240835305
"M1G__UP006","summarization","granite4.1:8b","True","stop",4.930269244,0.270160745,3155,0.039652,583,4.574511,"False",2724,0,FALSE,FALSE,FALSE,FALSE,FALSE,4.9334473030176,6.44359894801164,0.191113816864126,0.029659483528704,12.50294912,250.423404154317,20,2.06308046409605e-05,0.00044804591399128,3.30001861167451e-05,0.000501676904748985,0,94.5,53.6,32.792857170105,"UP006",1,"General","granite4.1:8b",583,0.000501676904748985,0.191113816864126,4.9334473030176,6.36818718635049,-7.59755426152014,-1.65488612860112,1.59603799379814
"M1G__UP007","summarization","granite4.1:8b","True","stop",1.334003672,0.293909371,3094,0.033249,123,0.964903,"False",578,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.33783860498806,2.85003443597816,0.0484969220648504,0.0170162582783691,12.50059900625,134.202920980783,20,8.14539628832906e-06,0.000106132584906327,1.3027234883177e-05,0.000127305216077833,0,94,53.6,32.7934837341309,"UP007",1,"General","granite4.1:8b",123,0.000127305216077833,0.0484969220648504,1.33783860498806,4.81218435537242,-8.96892307855196,-3.02625494563294,0.291055330355678
"M1S__UP007","summarization","granite4.1:8b","True","stop",0.915569743,0.271711759,3155,0.039537,71,0.558837,"False",330,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.919386147987098,2.43098137504421,0.0327223818457983,0.0134605646023114,12.5,101.577062421227,20,6.69003114590952e-06,6.85053325817364e-05,1.07014254725073e-05,8.58967892001532e-05,0,0,0,0,"UP007",1,"Sustainability","granite4.1:8b",71,8.58967892001532e-05,0.0327223818457983,0.919386147987098,4.26267987704132,-9.36236410801778,-3.41969597509877,-0.0840490620851598
"M1S__UP008","summarization","granite4.1:8b","True","stop",1.06592515,0.294101077,3222,0.039639,87,0.682903,"False",393,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.06967467605136,2.5844238899881,0.0388830151335635,0.0150451384094513,12.50000703125,116.299491050611,20,7.21484726331864e-06,8.33145110963329e-05,1.15391942944067e-05,0.000102068552654058,0,0,53.5,32.7860641479492,"UP008",1,"Sustainability","granite4.1:8b",87,0.000102068552654058,0.0388830151335635,1.06967467605136,4.46590811865458,-9.18986588558417,-3.24719775266515,0.0673545611704647
"M1G__UP008","summarization","granite4.1:8b","True","stop",1.709752166,0.260824554,3161,0.039752,174,1.364272,"False",784,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.71356174297398,3.22895684401738,0.0642852281777894,0.0199089771970466,12.50184325625,161.102219395327,20,9.44911081445337e-06,0.000144187059794021,1.51136080443393e-05,0.000168749778652814,0,95,53.6,32.7953033447266,"UP008",1,"General","granite4.1:8b",174,0.000168749778652814,0.0642852281777894,1.71356174297398,5.15905529921453,-8.68709353989953,-2.74442540698051,0.538574094933406
"M1G__UP009","summarization","granite4.1:8b","True","stop",0.756668444,0.27874566,3145,0.036966,50,0.396077,"False",211,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.760472482012119,2.2724087020033,0.0264210813463325,0.0116269055487423,12.5000001125,84.711783623901,20,6.13931090596551e-06,5.3397264940358e-05,9.81919616137424e-06,6.93557720076978e-05,0,0,0,0,"UP009",1,"General","granite4.1:8b",50,6.93557720076978e-05,0.0264210813463325,0.760472482012119,3.91202300542815,-9.57626118456308,-3.63359305164406,-0.273815352010928
