"term","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-7.52232564755938,0.0556024358583222,98.9999981756808,-135.287699746224,3.78074429454117e-114
"condition1",0.106244916434711,0.0208865674717489,495.000000760858,5.0867581079762,5.17854880951629e-07
"model1",-1.30385921530187,0.029538066989968,495.000000760858,-44.1416567896843,9.67622921041444e-174
"model2",0.214829912970864,0.029538066989968,495.000000757886,7.27298482476281,1.3841027211376e-12
"condition1:model1",0.110093595068947,0.029538066989968,495.000000760858,3.72717670070755,0.000215980327524433
"condition1:model2",-0.0253931910448169,0.029538066989968,495.000000757886,-0.859676804627776,0.390383368186269
