"analysis","outcome","n","effect_scale","effect","ci_low","ci_high","percent_change","percent_ci_low","percent_ci_high","condition_omnibus_p","interaction_omnibus_p","overall_contrast_p","preregistered_interpretation"
"H1_output_tokens","log_token_count",600,"ratio of geometric means",0.765176686147416,0.695716116107995,0.841572226756718,-23.4823313852584,-30.4283883892005,-15.8427773243282,5.30940802678764e-08,1.32109042406277e-05,5.30940802678762e-08,"Significant effect in predicted lower direction"
"H2_energy","log_energy",600,"ratio of geometric means",0.80856853710156,0.744856012323128,0.877730820956222,-19.143146289844,-25.5143987676872,-12.2269179043778,5.17854880951626e-07,0.000551465016338221,5.17854880951629e-07,"Significant effect in predicted lower direction"
"H3_carbon","log_carbon",600,"ratio of geometric means",0.80856853710156,0.74485601232234,0.877730820957151,-19.143146289844,-25.514398767766,-12.2269179042849,5.17854881127358e-07,0.000551465016444528,5.17854881127358e-07,"Significant effect in predicted lower direction"
"H4_latency","log_latency",600,"ratio of geometric means",0.816110499544375,0.754372458773283,0.882901197837524,-18.3889500455625,-24.5627541226717,-11.7098802162476,5.48039744794863e-07,0.000678479185122145,5.48039744794863e-07,"Significant effect in predicted lower direction"
"H5_QA_correctness","qa_correct",240,"odds ratio",0.584814926281393,0.141863110774931,2.41083461467383,,,,0.457895380937576,0.852945705960134,0.457895380937576,"No statistically detectable condition difference. This is NOT proof of equivalence."
"H5_mean_judge_score","judge_mean_score",360,"Sustainability - General mean-score difference",0.124074074074074,0.0119301195893194,0.236218028558829,,,,0.0302429011378737,0.0824480681004222,0.0302429011378737,"Statistically detectable condition difference; inspect direction"
