"condition","model","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","geometric_mean","geometric_mean_CI_low","geometric_mean_CI_high"
"General","granite4.1:8b",5.13872294768718,0.0843778440920883,260.663703666661,4.97257398153551,5.30487191383885,60.9013302363934,3.70281666523953e-156,170.497894502296,144.398087445754,201.315215069152
"Sustainability","granite4.1:8b",4.55048093539646,0.0843778440920883,260.663703666661,4.38433196924479,4.71662990154813,53.9298080480719,2.09400977665431e-143,94.6779313356736,80.1846395118243,111.790870877217
"General","gemma4:12b",6.28023115864344,0.0843778440920883,260.663703666462,6.11408219249177,6.44638012479511,74.4298604238967,1.24893140721871e-177,533.912067951392,452.180841889223,630.41612977926
"Sustainability","gemma4:12b",6.11118755910791,0.0843778440920883,260.663703666462,5.94503859295624,6.27733652525958,72.4264482562304,1.10525718893624e-174,450.873836691791,381.854097891789,532.368822897337
"General","qwen3.5:9b",7.56176589280873,0.0843778440920883,260.663703666462,7.39561692665706,7.7279148589604,89.6179082811831,7.34970891719135e-198,1923.23874992373,1628.82948203685,2270.86219275868
"Sustainability","qwen3.5:9b",7.51610597601775,0.0843778440920883,260.663703666462,7.34995700986607,7.68225494216942,89.0767719523009,3.39082115107034e-197,1837.39847161527,1556.12962817803,2169.50637168119
